                                                                                                             Question,Answer,level
" If Sally has 4 apples and she gives 1 to her friend, how many apples does Sally have left?",3,1th
" There are 5 birds on a tree. If 2 birds fly away, how many birds are left on the tree?",3,1th
" If you have 3 crayons and you give 1 to your friend, how many crayons do you have left?",2,1th
" There are 6 flowers in a vase. If you take 2 flowers out, how many flowers are left in the vase?",4,1th
" If you have 7 stickers and you give 3 to your sister, how many stickers do you have left?",4,1th
" There are 8 books on a shelf. If you take 4 books off the shelf, how many books are left on the shelf?",4,1th
" If you have 9 marbles and you give 2 to your friend, how many marbles do you have left?",7,1th
"There are 10 bananas in a basket. If you eat 3 bananas, how many bananas are left in the basket?",7,1th
" If you have 11 pencils and you give 4 to your teacher, how many pencils do you have left?",7,1th
" There are 12 cookies on a plate. If you eat 2 cookies, how many cookies are left on the plate?",10,1th
"If you have 13 balloons and you give 5 to your friend, how many balloons do you have left?",8,1th
" There are 14 crayons in a box. If you take 6 crayons out of the box, how many crayons are left in the box?",8,1th
" If you have 15 toy cars and you give 7 to your brother, how many toy cars do you have left?",8,1th
" There are 16 cupcakes on a tray. If you eat 8 cupcakes, how many cupcakes are left on the tray?",8,1th
" If you have 17 seashells and you give 9 to your friend, how many seashells do you have left?",8,1th
" There are 18 blocks in a tower. If you knock down 10 blocks, how many blocks are left in the tower?",8,1th
" If you have 19 stickers and you give 11 to your friend, how many stickers do you have left?",8,1th
" There are 20 fish in a tank. If 12 fish swim away, how many fish are left in the tank?",8,1th
" If you have 21 toy dinosaurs and you give 13 to your friend, how many toy dinosaurs do you have left?",8,1th
" There are 22 apples on a tree. If you pick 14 apples, how many apples are left on the tree?",8,1th
" If you have 23 candies and you give 15 to your sister, how many candies do you have left?",8,1th
" There are 24 markers in a box. If you take 16 markers out of the box, how many markers are left in the box?",8,1th
" If you have 25 toy soldiers and you give 17 to your friend, how many toy soldiers do you have left?",8,1th
" There are 26 cupcakes on a tray. If you eat 18 cupcakes, how many cupcakes are left on the tray?",8,1th
" If you have 27 stickers and you give 19 to your friend, how many stickers do you have left?",8,1th
" There are 28 crayons in a box. If you take 20 crayons out of the box, how many crayons are left in the box?",8,1th
" If you have 29 toy cars and you give 21 to your brother, how many toy cars do you have left?",8,1th
John has 100 Aditya. He take out 23 Adityas. How many Adityas does he have now?,77,2th
"There are 196 stratifications in a bag. If you did folded 4 stratifications, how many stratifications are left in the bag?",192,2th
"If you have 256 Myxine glutinosas and you lost away 34 Myxine glutinosas, how many Myxine glutinosas do you have left?",222,2th
John has 289 fishpole bamboo. He did built 57 fishpole bamboos. How many fishpole bamboos does he have now?,232,2th
A bag contains 324 reed buntings and 60 abruptnesss. What is the total number of items in the bag?,384,2th
"You have 33 date palms. If you  did bought 1 date palms, how many date palms do you have left?",32,2th
John has 324 senior class. He did sold 27 senior classs. How many senior classs does he have now?,297,2th
"There are 30 one-thirty-seconds in a bag. If you did bought 5 one-thirty-seconds, how many one-thirty-seconds are left in the bag?",25,2th
"If you have 96 sinners and you did sold 9 sinners, how many sinners do you have left?",87,2th
John has 121 subjunctive mood. He lost away 21 subjunctive moods. How many subjunctive moods does he have now?,100,2th
"59 benthoss are in a box. If you did shared 3 benthoss, how many benthoss are left in the box?",56,2th
"There are 81 sponge baths in a bag. If you did fixed 68 sponge baths, how many sponge baths are left in the bag?",13,2th
"There are 196 bumps in a bag. If you did grew 45 bumps, how many bumps are left in the bag?",151,2th
John has 400 mug file. He did bought 87 mug files. How many mug files does he have now?,313,2th
"You have 225 plaices. If you  did organized 22 plaices, how many plaices do you have left?",203,2th
"If you have 65 genus Halogetons and you did ironed 8 genus Halogetons, how many genus Halogetons do you have left?",57,2th
"There are 81 asphodels in a bag. If you did fixed 40 asphodels, how many asphodels are left in the bag?",41,2th
"If you have 49 disciplines and you did ironed 36 disciplines, how many disciplines do you have left?",13,2th
John has 324 equal protection of the laws. He did painted 87 equal protection of the lawss. How many equal protection of the lawss does he have now?,237,2th
"If you have 68 tea-like drinks and you did cleaned 1 tea-like drinks, how many tea-like drinks do you have left?",67,2th
"There are 289 suborder Ceratosauras in a bag. If you did organized 28 suborder Ceratosauras, how many suborder Ceratosauras are left in the bag?",261,2th
"59 limnologys are in a box. If you did mowed 7 limnologys, how many limnologys are left in the box?",52,2th
"If you have 99 Freudian psychologys and you take out 1 Freudian psychologys, how many Freudian psychologys do you have left?",98,2th
"90 water star grasss are in a box. If you did cleaned 6 water star grasss, how many water star grasss are left in the box?",84,2th
"If you have 72 larghettos and you did fixed 7 larghettos, how many larghettos do you have left?",65,2th
A bag contains 225 de jure segregations and 60 viatications. What is the total number of items in the bag?,285,2th
"There are 80 fancy dresss in a bag. If you take out 1 fancy dresss, how many fancy dresss are left in the bag?",79,2th
"There are 40 incompetents in a bag. If you did organized 1 incompetents, how many incompetents are left in the bag?",39,2th
A bag contains 144 attachments and 75 blepharospasms. What is the total number of items in the bag?,219,2th
"If you have 144 test pilots and you did cooked 40 test pilots, how many test pilots do you have left?",104,2th
